iteration;batch_number;stick_number;index_log;stick_weight;sugar_amount;iteration_since_maintenance;wait_time;cook_time;cooldown_time;start_temp;cook_temp;cooled_temp;duration_till_handover;duration_total;show_start_time;show_end_time;duration_cc_flow;diff_flow;diff_flow_stop;baseline_env_EnvH;baseline_env_EnvT;before_turn_on_env_InH;before_turn_on_env_InT;before_turn_on_env_IrO;before_turn_on_env_IrA;after_flow_start_env_InH;after_flow_start_env_InT;after_flow_start_env_IrO;after_flow_start_env_IrA;after_flow_end_env_InH;after_flow_end_env_InT;after_flow_end_env_IrO;after_flow_end_env_IrA;before_cooldown_env_InH;before_cooldown_env_InT;before_cooldown_env_IrO;before_cooldown_env_IrA;after_cooldown_env_InH;after_cooldown_env_InT;after_cooldown_env_IrO;after_cooldown_env_IrA;touch_pos1;touch_pos2;touch_pos3;max_pos1;max_pos2;max_pos3;cc_weight;quality_score;my_score;
144;20;2;64969;1.8;1;13;21.0;73.0;80.0;55.0;53.0;54.0;219.0;395.0;15:31:35;15:32:39;64.0;19.0;10.0;43.01;22.93;32.2;35.99;50.79;27.85;32.43;35.05;61.93;27.95;31.36;37.37;72.69;28.59;30.3;38.47;71.63;28.67;30.25;36.37;51.95;28.65;1.0;2.0;1.0;15.42;5.34;6.23;8.93;40.33;50;
145;20;3;64976;1.8;1;14;22.0;70.0;64.0;50.0;53.0;54.0;173.0;405.0;15:37:25;15:38:31;66.0;24.0;20.0;41.82;23.23;30.27;36.37;52.29;28.63;30.96;35.05;59.91;28.27;30.31;37.18;71.41;28.43;29.28;38.2;70.73;28.75;29.34;36.71;52.13;28.05;11.0;1.0;9.0;6.53;1.13;16.45;8.29;43.98;40;
146;20;4;64983;1.8;1;15;23.0;81.0;88.0;50.0;53.0;54.0;170.0;374.0;15:44:15;15:45:16;61.0;25.0;5.0;42.35;23.06;29.36;36.66;52.43;28.07;30.03;35.3;59.97;28.23;29.54;37.39;73.27;28.75;28.45;38.98;74.35;28.53;28.44;37.03;51.93;27.73;5.0;1.0;3.0;15.53;1.84;11.32;7.96;37.08;60;
147;20;5;64990;1.8;1;16;22.0;73.0;91.0;50.0;50.0;54.0;183.0;396.0;15:52:35;15:53:30;55.0;45.0;27.0;41.23;23.08;28.44;36.96;54.49;29.41;30.76;34.24;62.17;27.87;29.87;36.64;72.77;28.09;28.75;38.3;76.65;28.31;28.62;36.82;51.39;27.47;7.0;1.0;2.0;6.7;1.01;7.2;6.93;13.24;45;
148;20;6;64997;1.8;1;17;35.0;74.0;77.0;50.0;56.0;54.0;279.0;448.0;16:39:44;16:40:51;67.0;7.0;0.0;41.89;22.95;28.63;36.79;51.19;27.49;39.97;30.97;58.65;25.93;37.69;34.56;72.05;27.27;35.08;36.5;69.73;27.31;33.93;35.56;51.11;26.85;1.0;1.0;1.0;20.21;3.54;9.81;10.02;44.73;65;
149;20;7;65004;1.8;1;18;25.0;73.0;98.0;50.0;53.0;52.0;169.0;396.0;16:45:29;16:46:30;61.0;22.0;10.0;43.86;22.78;33.93;35.52;51.59;26.83;34.03;33.9;59.67;27.17;33.08;36.22;70.49;27.67;31.27;38.13;75.85;27.85;30.92;36.07;49.77;27.49;1.0;3.0;8.0;11.86;0.15;11.37;8.92;42.02;65;
150;20;8;65011;1.8;1;19;23.0;69.0;86.0;55.0;56.0;54.0;219.0;443.0;16:52:51;16:53:59;68.0;12.0;11.0;43.08;23.0;30.94;36.05;49.95;27.47;31.69;34.56;60.69;27.59;30.84;37.07;71.77;28.15;29.52;38.62;78.05;28.21;29.43;36.84;51.33;27.31;5.0;1.0;8.0;11.93;4.18;15.51;8.51;41.15;60;
151;20;9;65018;1.8;1;20;22.0;81.0;102.0;45.0;50.0;52.0;172.0;409.0;16:59:35;17:00:36;61.0;28.0;8.0;43.22;22.83;29.46;36.77;51.21;27.27;30.53;34.88;61.47;27.53;30.03;36.98;70.73;28.13;29.15;38.51;78.19;28.49;29.11;36.62;49.43;27.51;8.0;1.0;5.0;9.88;5.07;18.0;9.35;46.81;65;
152;20;10;65025;1.8;1;21;25.0;73.0;90.0;50.0;53.0;54.0;209.0;417.0;17:07:01;17:08:05;64.0;20.0;11.0;42.95;23.0;29.14;36.6;49.37;27.49;30.42;34.88;60.63;27.79;29.71;37.24;73.09;28.33;29.05;38.26;74.05;27.99;29.14;36.73;51.33;27.65;4.0;1.0;4.0;15.11;2.79;31.0;9.11;49.85;70;
153;21;0;65034;1.8;1;22;23.0;73.0;74.0;50.0;53.0;54.0;237.0;407.0;17:25:49;17:26:46;57.0;18.0;2.0;44.25;22.59;37.07;27.29;35.05;28.27;36.09;31.26;58.21;26.35;34.44;34.33;69.83;26.85;32.62;36.18;69.17;27.77;32.19;35.13;51.35;27.27;1.0;1.0;2.0;14.14;7.42;10.1;9.56;45.69;70;
154;21;1;65041;1.8;1;23;25.0;74.0;78.0;45.0;53.0;54.0;170.0;345.0;17:31:09;17:32:29;80.0;4.0;10.0;45.42;22.4;32.24;35.07;51.93;27.29;32.97;33.61;56.85;27.19;31.89;36.3;71.79;27.53;30.86;37.3;71.61;27.99;30.63;36.14;51.75;27.53;1.0;1.0;1.0;18.97;4.19;12.66;8.7;40.87;70;
155;21;2;65049;1.8;1;24;38.0;69.0;78.0;45.0;53.0;52.0;172.0;351.0;17:40:12;17:40:58;46.0;28.0;5.0;44.81;22.49;30.65;36.09;47.15;29.45;33.32;33.03;60.45;26.75;32.4;35.13;69.15;27.07;31.26;36.69;68.37;27.49;31.11;35.33;50.47;27.09;1.0;1.0;1.0;19.17;6.84;12.34;9.24;44.64;70;
156;21;3;65056;1.8;1;25;23.0;80.0;88.0;55.0;53.0;54.0;218.0;407.0;17:46:25;17:47:38;73.0;8.0;1.0;45.64;22.25;31.12;35.26;50.67;27.13;32.02;33.92;60.17;27.25;31.19;36.28;73.29;27.89;30.25;37.52;73.95;28.07;30.26;35.92;51.29;26.85;3.0;1.0;1.0;14.01;1.45;11.18;9.13;45.05;75;
157;21;4;65063;1.8;1;26;37.0;62.0;94.0;50.0;56.0;52.0;176.0;395.0;17:52:38;17:53:45;67.0;11.0;16.0;46.12;22.11;30.3;35.9;50.77;26.87;31.3;34.37;58.47;26.87;30.52;36.66;71.57;27.35;29.61;37.79;74.17;27.77;29.65;36.2;50.25;26.59;6.0;1.0;4.0;7.17;1.11;11.4;7.87;38.09;50;
158;21;5;65070;1.8;1;27;22.0;61.0;87.0;50.0;50.0;54.0;199.0;419.0;17:59:54;18:00:45;51.0;29.0;19.0;45.56;22.08;29.7;36.11;49.57;26.57;31.25;34.05;59.67;26.07;30.76;35.75;69.07;26.57;30.0;36.71;73.65;27.99;30.25;35.05;51.25;27.23;4.0;4.0;6.0;6.2;0.26;5.76;6.39;24.24;50;
159;21;6;65077;1.8;1;28;26.0;58.0;76.0;50.0;53.0;52.0;164.0;335.0;18:06:18;18:07:12;54.0;23.0;19.0;45.6;22.06;30.28;35.03;51.23;27.19;31.27;33.92;59.43;26.71;30.72;35.71;68.21;26.83;29.9;37.18;68.15;27.87;30.08;35.43;50.05;27.21;1.0;1.0;1.0;13.4;3.12;6.25;6.77;20.78;40;
160;21;7;65084;1.8;1;29;42.0;73.0;86.0;45.0;56.0;54.0;182.0;402.0;18:12:00;18:13:08;68.0;11.0;6.0;45.53;22.08;30.09;35.39;50.45;27.25;31.18;34.05;59.89;26.79;30.5;36.16;71.57;27.25;29.93;36.58;75.55;27.85;30.08;35.37;51.63;26.67;1.0;1.0;11.0;6.93;0.92;26.19;8.24;49.8;55;
161;21;8;65092;1.8;1;30;24.0;70.0;93.0;55.0;50.0;52.0;211.0;427.0;18:19:22;18:20:17;55.0;10.0;-5.0;44.97;22.19;30.09;35.37;51.29;26.67;31.31;33.95;60.69;26.71;30.84;35.62;71.03;27.39;29.96;36.84;74.01;27.71;30.2;35.09;49.95;26.63;4.0;1.0;5.0;13.39;5.31;15.61;8.25;44.53;60;
162;21;9;65100;1.8;1;31;44.0;81.0;90.0;45.0;56.0;54.0;186.0;398.0;18:25:55;18:26:51;56.0;11.0;-14.0;46.23;21.96;30.24;35.03;49.55;26.63;31.39;33.86;60.13;26.31;30.79;35.77;71.77;26.91;29.79;37.39;75.71;27.63;29.73;36.24;51.21;26.49;5.0;1.0;4.0;13.85;5.94;7.41;8.51;46.37;40;
163;21;10;65108;1.8;1;32;24.0;61.0;87.0;50.0;50.0;52.0;154.0;354.0;18:32:25;18:33:11;46.0;22.0;7.0;45.98;22.02;29.76;36.18;51.79;26.45;30.96;34.24;59.35;26.45;30.72;35.84;68.61;26.53;29.9;37.32;71.75;26.61;30.12;35.58;49.69;25.97;4.0;1.0;3.0;14.91;4.81;13.58;8.71;47.22;55;
164;22;0;65178;1.8;1;23;34.0;61.0;63.0;45.0;50.0;54.0;280.0;512.0;20:28:19;20:29:18;59.0;18.0;16.0;47.88;21.45;45.24;23.34;22.19;21.39;49.4;27.68;55.51;22.21;46.67;31.1;66.99;22.73;41.26;34.82;71.81;23.93;39.95;33.82;52.23;23.33;11.0;1.0;11.0;6.96;0.41;35.56;6.24;21.24;45;
165;22;1;65187;1.8;1;24;23.0;58.0;77.0;55.0;56.0;52.0;200.0;391.0;20:35:34;20:36:32;58.0;7.0;7.0;54.59;20.11;39.97;33.71;51.65;23.33;39.71;32.24;57.51;24.29;38.54;34.09;68.59;24.61;36.78;35.37;70.67;24.57;36.2;34.09;50.15;23.73;1.0;2.0;3.0;22.14;0.18;10.88;9.95;50.67;55;
;22;2;65197;1.8;1;25;26.0;9.0;82.0;50.0;50.0;52.0;279.0;772.0;20:59:05;20:59:38;33.0;48.0;72.0;53.4;20.2;36.21;34.01;49.91;23.75;39.09;31.16;61.99;23.81;38.51;32.12;67.65;23.97;36.17;34.58;65.99;25.31;34.6;33.75;49.85;24.93;11.0;11.0;11.0;0.0;0.0;0.0;-1.8;9.68;0;
167;22;3;65215;1.8;1;26;24.0;70.0;70.0;55.0;56.0;54.0;211.0;420.0;21:10:25;21:11:24;59.0;12.0;1.0;54.24;19.92;34.61;33.73;50.11;24.99;35.78;32.18;59.69;24.67;35.14;34.11;70.53;24.67;33.95;35.33;73.63;24.95;34.0;34.16;51.83;24.33;5.0;3.0;6.0;15.51;0.1;15.59;9.27;52.99;50;
168;22;4;65222;1.8;1;27;36.0;61.0;89.0;45.0;56.0;52.0;163.0;381.0;21:16:55;21:17:39;44.0;22.0;5.0;52.58;20.71;34.01;34.09;52.21;24.25;34.93;33.03;64.63;24.43;34.58;34.18;68.89;25.09;33.28;36.24;73.61;25.95;32.93;35.35;49.67;25.55;6.0;2.0;4.0;18.74;2.19;20.45;8.87;50.68;55;
169;22;5;65229;1.8;1;28;26.0;74.0;86.0;50.0;53.0;52.0;199.0;392.0;21:23:42;21:24:39;57.0;17.0;0.0;52.18;20.96;32.95;35.33;48.97;25.57;34.31;33.46;58.35;25.67;33.81;35.03;68.35;26.03;32.85;36.35;71.39;26.25;32.91;34.88;49.73;25.63;4.0;2.0;1.0;16.68;0.97;15.16;9.0;49.55;65;
170;22;6;65236;1.8;1;29;31.0;57.0;88.0;50.0;53.0;54.0;161.0;386.0;21:29:44;21:30:36;52.0;17.0;12.0;52.54;21.11;32.94;34.88;50.13;25.67;34.06;33.67;58.45;25.59;33.5;35.33;68.81;25.79;32.29;37.28;75.35;26.63;31.97;36.39;51.05;25.89;7.0;1.0;7.0;7.47;2.98;13.4;6.03;20.88;30;
171;22;7;65243;1.8;1;30;27.0;80.0;86.0;45.0;53.0;54.0;179.0;394.0;21:36:10;21:37:23;73.0;18.0;11.0;52.43;21.24;31.98;36.35;51.01;25.87;33.05;34.67;59.09;25.87;32.59;36.47;73.11;26.31;31.68;37.77;76.11;27.61;31.58;36.54;51.99;27.05;8.0;1.0;2.0;11.41;5.84;7.94;9.88;49.79;45;
172;22;8;65250;1.8;1;31;23.0;61.0;79.0;55.0;50.0;54.0;212.0;393.0;21:43:25;21:44:31;66.0;7.0;12.0;52.71;21.26;31.61;36.47;51.63;27.07;33.03;34.41;59.23;26.95;32.44;36.39;71.21;26.51;31.76;37.28;72.47;27.29;31.85;36.05;51.07;26.65;1.0;3.0;1.0;15.95;0.65;14.95;9.35;49.98;55;
173;22;9;65257;1.8;1;32;41.0;69.0;98.0;50.0;56.0;52.0;171.0;397.0;21:49:23;21:50:26;63.0;6.0;0.0;52.41;21.28;31.88;36.03;51.79;26.67;33.06;34.28;58.43;26.53;32.55;36.22;70.29;26.87;31.72;37.56;75.37;27.87;31.76;36.24;49.93;27.15;1.0;1.0;9.0;10.06;2.4;23.97;8.61;43.88;70;
174;22;10;65264;1.8;1;33;23.0;74.0;71.0;45.0;50.0;54.0;157.0;333.0;21:55:50;21:56:53;63.0;11.0;0.0;52.92;21.28;31.78;36.24;50.37;27.15;33.03;34.24;54.99;26.87;32.94;35.45;67.33;26.45;31.89;37.62;69.03;26.73;31.83;36.54;51.21;25.85;3.0;1.0;1.0;19.75;9.8;14.15;9.69;52.38;60;
175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
